"id","make","model","year","class","trans","cyl","displ","hwy","cty","hwy.factor"
8557,"Acura","NSX",1992,"coupe","Manual",6,3,22,17,2
9630,"Acura","NSX",1993,"coupe","Auto",6,3,22,16,2
9631,"Acura","NSX",1993,"coupe","Manual",6,3,22,17,2
10617,"Acura","NSX",1994,"coupe","Auto",6,3,22,16,2
10618,"Acura","NSX",1994,"coupe","Manual",6,3,22,17,2
11580,"Acura","NSX",1995,"coupe","Auto",6,3,22,16,2
11581,"Acura","NSX",1995,"coupe","Manual",6,3,22,16,2
12507,"Acura","NSX",1996,"coupe","Auto",6,3,22,16,2
12508,"Acura","NSX",1996,"coupe","Manual",6,3,22,16,2
13984,"Acura","NSX",1998,"coupe","Auto",6,3,22,16,2
13985,"Acura","NSX",1998,"coupe","Manual",6,3.2,22,16,2
14790,"Acura","NSX",1999,"coupe","Auto",6,3,22,16,2
14791,"Acura","NSX",1999,"coupe","Manual",6,3.2,22,16,2
15589,"Acura","NSX",2000,"coupe","Auto",6,3,22,15,2
15590,"Acura","NSX",2000,"coupe","Manual",6,3.2,22,15,2
16425,"Acura","NSX",2001,"coupe","Auto",6,3,22,15,2
16426,"Acura","NSX",2001,"coupe","Manual",6,3.2,22,15,2
17332,"Acura","NSX",2002,"coupe","Auto",6,3,22,15,2
17333,"Acura","NSX",2002,"coupe","Manual",6,3.2,22,15,2
18292,"Acura","NSX",2003,"coupe","Auto",6,3,22,15,2
18293,"Acura","NSX",2003,"coupe","Manual",6,3.2,22,15,2
19332,"Acura","NSX",2004,"coupe","Auto",6,3,22,16,2
19333,"Acura","NSX",2004,"coupe","Manual",6,3.2,22,16,2
20451,"Acura","NSX",2005,"coupe","Auto",6,3,22,16,2
20452,"Acura","NSX",2005,"coupe","Manual",6,3.2,22,16,2
29364,"Acura","RDX 2WD",2010,"suv","Auto",4,2.3,24,19,2
30430,"Acura","RDX 2WD",2011,"suv","Auto",4,2.3,24,19,2
31900,"Acura","RDX 2WD",2012,"suv","Auto",4,2.3,24,19,2
32634,"Acura","RDX 2WD",2013,"suv","Auto",6,3.5,28,20,3
33523,"Acura","RDX 2WD",2014,"suv","Auto",6,3.5,28,20,3
34839,"Acura","RDX 2WD",2015,"suv","Auto",6,3.5,28,20,3
23772,"Acura","RDX 4WD",2007,"suv","Auto",4,2.3,22,17,2
25013,"Acura","RDX 4WD",2008,"suv","Auto",4,2.3,22,17,2
25659,"Acura","RDX 4WD",2009,"suv","Auto",4,2.3,22,17,2
29366,"Acura","RDX 4WD",2010,"suv","Auto",4,2.3,22,17,2
30567,"Acura","RDX 4WD",2011,"suv","Auto",4,2.3,22,17,2
31946,"Acura","RDX 4WD",2012,"suv","Auto",4,2.3,22,17,2
32635,"Acura","RDX 4WD",2013,"suv","Auto",6,3.5,27,19,3
33524,"Acura","RDX 4WD",2014,"suv","Auto",6,3.5,27,19,3
34843,"Acura","RDX 4WD",2015,"suv","Auto",6,3.5,27,19,3
20832,"Acura","RL",2005,"midsize","Auto",6,3.5,24,16,2
21914,"Acura","RL",2006,"midsize","Auto",6,3.5,24,16,2
23550,"Acura","RL",2007,"midsize","Auto",6,3.5,24,16,2
24345,"Acura","RL",2008,"midsize","Auto",6,3.5,24,16,2
25266,"Acura","RL",2009,"midsize","Auto",6,3.7,22,16,2
28619,"Acura","RL",2010,"midsize","Auto",6,3.7,22,16,2
30850,"Acura","RL",2011,"midsize","Auto",6,3.7,24,17,2
32066,"Acura","RL",2012,"midsize","Auto",6,3.7,24,17,2
33517,"Acura","RLX",2014,"midsize","Auto",6,3.5,31,20,3
34596,"Acura","RLX Hybrid",2014,"midsize","Auto",6,3.5,32,28,3
17406,"Acura","RSX",2002,"subcompact","Manual",4,2,30,23,3
17407,"Acura","RSX",2002,"subcompact","Manual",4,2,28,21,3
17408,"Acura","RSX",2002,"subcompact","Auto",4,2,30,21,3
18390,"Acura","RSX",2003,"subcompact","Manual",4,2,30,24,3
18391,"Acura","RSX",2003,"subcompact","Manual",4,2,28,21,3
18392,"Acura","RSX",2003,"subcompact","Auto",4,2,30,21,3
19445,"Acura","RSX",2004,"subcompact","Manual",4,2,30,24,3
19446,"Acura","RSX",2004,"subcompact","Manual",4,2,28,21,3
19447,"Acura","RSX",2004,"subcompact","Auto",4,2,31,22,3
20584,"Acura","RSX",2005,"subcompact","Manual",4,2,31,24,3
20585,"Acura","RSX",2005,"subcompact","Manual",4,2,28,20,3
20586,"Acura","RSX",2005,"subcompact","Auto",4,2,31,22,3
21706,"Acura","RSX",2006,"subcompact","Manual",4,2,31,24,3
21707,"Acura","RSX",2006,"subcompact","Manual",4,2,28,20,3
21708,"Acura","RSX",2006,"subcompact","Auto",4,2,31,22,3
13190,"Acura","SLX",1996,"spv","Auto",6,3.2,17,13,1
13191,"Acura","SLX",1996,"spv","Manual",6,3.2,17,14,1
13919,"Acura","SLX",1997,"spv","Auto",6,3.2,17,13,1
13920,"Acura","SLX",1997,"spv","Manual",6,3.2,17,14,1
14705,"Acura","SLX",1998,"spv","Auto",6,3.5,18,13,1
15505,"Acura","SLX",1999,"suv","Auto",6,3.5,18,13,1
19711,"Acura","TL",2004,"midsize","Manual",6,3.2,28,18,3
19712,"Acura","TL",2004,"midsize","Auto",6,3.2,26,18,3
20833,"Acura","TL",2005,"midsize","Manual",6,3.2,26,18,3
20834,"Acura","TL",2005,"midsize","Auto",6,3.2,26,18,3
21915,"Acura","TL",2006,"midsize","Manual",6,3.2,26,18,3
21916,"Acura","TL",2006,"midsize","Auto",6,3.2,26,18,3
23551,"Acura","TL",2007,"midsize","Auto",6,3.2,26,18,3
23552,"Acura","TL",2007,"midsize","Manual",6,3.5,27,18,3
23553,"Acura","TL",2007,"midsize","Auto",6,3.5,26,17,3
24346,"Acura","TL",2008,"midsize","Auto",6,3.2,26,18,3
24347,"Acura","TL",2008,"midsize","Manual",6,3.5,27,18,3
24348,"Acura","TL",2008,"midsize","Auto",6,3.5,26,17,3
26252,"Acura","TL 2WD",2009,"midsize","Auto",6,3.5,26,18,3
29716,"Acura","TL 2WD",2010,"midsize","Auto",6,3.5,26,18,3
30657,"Acura","TL 2WD",2011,"midsize","Auto",6,3.5,26,18,3
31209,"Acura","TL 2WD",2012,"midsize","Auto",6,3.5,29,20,3
33160,"Acura","TL 2WD",2013,"midsize","Auto",6,3.5,29,20,3
34341,"Acura","TL 2WD",2014,"midsize","Auto",6,3.5,29,20,3
26253,"Acura","TL 4WD",2009,"midsize","Auto",6,3.7,25,17,3
29717,"Acura","TL 4WD",2010,"midsize","Manual",6,3.7,25,17,3
29718,"Acura","TL 4WD",2010,"midsize","Auto",6,3.7,25,17,3
30658,"Acura","TL 4WD",2011,"midsize","Manual",6,3.7,25,17,3
30659,"Acura","TL 4WD",2011,"midsize","Auto",6,3.7,25,17,3
31210,"Acura","TL 4WD",2012,"midsize","Auto",6,3.7,26,18,3
31211,"Acura","TL 4WD",2012,"midsize","Manual",6,3.7,25,17,3
33161,"Acura","TL 4WD",2013,"midsize","Manual",6,3.7,25,17,3
33162,"Acura","TL 4WD",2013,"midsize","Auto",6,3.7,26,18,3
34342,"Acura","TL 4WD",2014,"midsize","Auto",6,3.7,26,18,3
34343,"Acura","TL 4WD",2014,"midsize","Manual",6,3.7,25,17,3
19527,"Acura","TSX",2004,"compact","Manual",4,2.4,27,19,3
19528,"Acura","TSX",2004,"compact","Auto",4,2.4,29,20,3
20657,"Acura","TSX",2005,"compact","Manual",4,2.4,27,19,3
20658,"Acura","TSX",2005,"compact","Auto",4,2.4,28,20,3
22644,"Acura","TSX",2006,"compact","Auto",4,2.4,28,20,3
22645,"Acura","TSX",2006,"compact","Manual",4,2.4,28,19,3
23516,"Acura","TSX",2007,"compact","Manual",4,2.4,28,19,3
23517,"Acura","TSX",2007,"compact","Auto",4,2.4,28,20,3
24274,"Acura","TSX",2008,"compact","Manual",4,2.4,28,19,3
24275,"Acura","TSX",2008,"compact","Auto",4,2.4,28,20,3
25235,"Acura","TSX",2009,"compact","Manual",4,2.4,28,20,3
25236,"Acura","TSX",2009,"compact","Auto",4,2.4,30,21,3
28571,"Acura","TSX",2010,"compact","Manual",4,2.4,28,20,3
28572,"Acura","TSX",2010,"compact","Auto",4,2.4,30,21,3
28573,"Acura","TSX",2010,"compact","Auto",6,3.5,27,18,3
34747,"Acura","TSX",2011,"compact","Manual",4,2.4,29,21,3
34748,"Acura","TSX",2011,"compact","Auto",4,2.4,31,22,3
34749,"Acura","TSX",2011,"compact","Auto",6,3.5,28,19,3
31674,"Acura","TSX",2012,"compact","Manual",4,2.4,29,21,3
31675,"Acura","TSX",2012,"compact","Auto",4,2.4,31,22,3
31676,"Acura","TSX",2012,"compact","Auto",6,3.5,28,19,3
33149,"Acura","TSX",2013,"compact","Manual",4,2.4,29,21,3
33150,"Acura","TSX",2013,"compact","Auto",4,2.4,31,22,3
33151,"Acura","TSX",2013,"compact","Auto",6,3.5,28,19,3
34334,"Acura","TSX",2014,"compact","Auto",4,2.4,31,22,3
34335,"Acura","TSX",2014,"compact","Manual",4,2.4,29,21,3
34336,"Acura","TSX",2014,"compact","Auto",6,3.5,28,19,3
34758,"Acura","TSX Wagon",2011,"wagon","Auto",4,2.4,30,22,3
31812,"Acura","TSX Wagon",2012,"wagon","Auto",4,2.4,30,22,3
33177,"Acura","TSX Wagon",2013,"wagon","Auto",4,2.4,30,22,3
34360,"Acura","TSX Wagon",2014,"wagon","Auto",4,2.4,30,22,3
8833,"Acura","Vigor",1992,"compact","Auto",5,2.5,23,18,2
8834,"Acura","Vigor",1992,"compact","Manual",5,2.5,24,18,2
9879,"Acura","Vigor",1993,"compact","Auto",5,2.5,24,18,2
9880,"Acura","Vigor",1993,"compact","Manual",5,2.5,24,18,2
10847,"Acura","Vigor",1994,"compact","Auto",5,2.5,24,18,2
10848,"Acura","Vigor",1994,"compact","Manual",5,2.5,24,18,2
29945,"Acura","ZDX 4WD",2010,"suv","Auto",6,3.7,23,16,2
30900,"Acura","ZDX 4WD",2011,"suv","Auto",6,3.7,23,16,2
31945,"Acura","ZDX 4WD",2012,"suv","Auto",6,3.7,23,16,2
33533,"Acura","ZDX 4WD",2013,"suv","Auto",6,3.7,23,16,2
7744,"Alfa Romeo","164",1991,"compact","Auto",6,3,23,16,2
7745,"Alfa Romeo","164",1991,"compact","Manual",6,3,25,16,3
7746,"Alfa Romeo","164",1991,"compact","Manual",6,3,23,15,2
8835,"Alfa Romeo","164",1992,"compact","Auto",6,3,23,16,2
8836,"Alfa Romeo","164",1992,"compact","Manual",6,3,25,16,3
8837,"Alfa Romeo","164",1992,"compact","Manual",6,3,23,15,2
9881,"Alfa Romeo","164",1993,"compact","Auto",6,3,23,16,2
9882,"Alfa Romeo","164",1993,"compact","Manual",6,3,25,16,3
9883,"Alfa Romeo","164",1993,"compact","Manual",6,3,23,15,2
10849,"Alfa Romeo","164",1994,"compact","Auto",6,3,20,14,2
10850,"Alfa Romeo","164",1994,"compact","Manual",6,3,22,15,2
11790,"Alfa Romeo","164",1995,"compact","Auto",6,3,20,14,2
11791,"Alfa Romeo","164",1995,"compact","Manual",6,3,22,15,2
29558,"Alfa Romeo","8 C Spider",2009,"subcompact","Auto",8,4.7,16,11,1
35,"Alfa Romeo","GT V6 2.5",1985,"subcompact","Manual",6,2.5,24,17,2
1727,"Alfa Romeo","GTV",1986,"subcompact","Manual",6,2.5,24,17,2
2934,"Alfa Romeo","GTV",1987,"subcompact","Manual",6,2.5,23,16,2
2956,"Alfa Romeo","Milano",1987,"subcompact","Auto",6,2.5,21,16,2
2957,"Alfa Romeo","Milano",1987,"subcompact","Manual",6,2.5,23,16,2
2958,"Alfa Romeo","Milano",1987,"subcompact","Manual",6,3,23,17,2
4185,"Alfa Romeo","Milano",1988,"subcompact","Auto",6,2.5,20,16,2
4186,"Alfa Romeo","Milano",1988,"subcompact","Manual",6,2.5,22,16,2
4187,"Alfa Romeo","Milano",1988,"subcompact","Manual",6,3,23,16,2
5305,"Alfa Romeo","Milano",1989,"subcompact","Auto",6,2.5,20,16,2
5306,"Alfa Romeo","Milano",1989,"subcompact","Manual",6,2.5,22,16,2
5307,"Alfa Romeo","Milano",1989,"subcompact","Manual",6,3,23,16,2
1689,"Alfa Romeo","Spider",1986,"coupe","Manual",4,2,26,19,3
2891,"Alfa Romeo","Spider",1987,"coupe","Manual",4,2,25,19,3
4117,"Alfa Romeo","Spider",1988,"coupe","Manual",4,2,25,19,3
5239,"Alfa Romeo","Spider",1989,"coupe","Manual",4,2,25,19,3
6389,"Alfa Romeo","Spider",1990,"coupe","Manual",4,2,28,20,3
7447,"Alfa Romeo","Spider",1991,"coupe","Auto",4,2,23,19,2
7448,"Alfa Romeo","Spider",1991,"coupe","Manual",4,2,27,19,3
8558,"Alfa Romeo","Spider",1992,"coupe","Auto",4,2,23,19,2
8559,"Alfa Romeo","Spider",1992,"coupe","Manual",4,2,27,19,3
9632,"Alfa Romeo","Spider",1993,"coupe","Auto",4,2,23,19,2
9633,"Alfa Romeo","Spider",1993,"coupe","Manual",4,2,27,19,3
10619,"Alfa Romeo","Spider",1994,"coupe","Manual",4,2,27,19,3
1,"Alfa Romeo","Spider Veloce 2000",1985,"coupe","Manual",4,2,25,19,3
2788,"American Motors Corporation","Eagle",1986,"spv","Auto",6,4.2,17,15,1
2789,"American Motors Corporation","Eagle",1986,"spv","Manual",6,4.2,20,15,2
1077,"American Motors Corporation","Eagle 4DR Wagon",1985,"spv","Auto",6,4.2,17,15,1
1078,"American Motors Corporation","Eagle 4DR Wagon",1985,"spv","Manual",6,4.2,20,15,2
1642,"American Motors Corporation","Eagle 4DR Wagon",1985,"spv","Manual",6,4.2,19,15,1
27591,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",4,2.5,22,19,2
27592,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",4,2.5,23,19,2
27593,"American Motors Corporation","Eagle 4WD",1984,"spv","Auto",6,4.2,20,15,2
27594,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",6,4.2,20,16,2
27595,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",6,4.2,22,16,2
28454,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",4,2.5,22,19,2
28455,"American Motors Corporation","Eagle 4WD",1984,"spv","Auto",6,4.2,19,15,1
28456,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",6,4.2,20,15,2
28457,"American Motors Corporation","Eagle 4WD",1984,"spv","Manual",6,4.2,22,16,2
4016,"American Motors Corporation","Eagle 4WD",1987,"spv","Auto",6,4.2,17,15,1
4017,"American Motors Corporation","Eagle 4WD",1987,"spv","Manual",6,4.2,20,15,2
27585,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Auto",4,2.5,21,17,2
27586,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",4,2.5,22,19,2
27587,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",4,2.5,23,19,2
27588,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Auto",6,4.2,20,16,2
27589,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",6,4.2,20,16,2
27590,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",6,4.2,22,16,2
28449,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Auto",4,2.5,21,17,2
28450,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",4,2.5,22,19,2
28451,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Auto",6,4.2,20,15,2
28452,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",6,4.2,20,15,2
28453,"American Motors Corporation","Eagle SX/4 4WD",1984,"spv","Manual",6,4.2,22,16,2
19324,"Aston Martin","DB AR1",2003,"coupe","Auto",12,5.9,17,10,1
19325,"Aston Martin","DB AR1",2003,"coupe","Manual",12,5.9,16,9,1
18341,"Aston Martin","DB-7 GT Coupe",2003,"subcompact","Manual",12,5.9,15,9,1
18342,"Aston Martin","DB-7 GT Volante",2003,"subcompact","Manual",12,5.9,16,9,1
15622,"Aston Martin","DB-7 Vantage Coupe",2000,"subcompact","Auto",12,5.9,17,10,1
15623,"Aston Martin","DB-7 Vantage Coupe",2000,"subcompact","Manual",12,5.9,17,10,1
18343,"Aston Martin","DB-7 Vantage Coupe",2003,"subcompact","Auto",12,5.9,18,11,1
18344,"Aston Martin","DB-7 Vantage Coupe",2003,"subcompact","Manual",12,5.9,17,10,1
15624,"Aston Martin","DB-7 Vantage Volante",2000,"subcompact","Auto",12,5.9,17,10,1
15625,"Aston Martin","DB-7 Vantage Volante",2000,"subcompact","Manual",12,5.9,17,10,1
18345,"Aston Martin","DB-7 Vantage Volante",2003,"subcompact","Auto",12,5.9,17,10,1
18346,"Aston Martin","DB-7 Vantage Volante",2003,"subcompact","Manual",12,5.9,17,10,1
13277,"Aston Martin","DB7 Coupe",1997,"subcompact","Auto",6,3.2,19,13,1
13278,"Aston Martin","DB7 Coupe",1997,"subcompact","Manual",6,3.2,19,12,1
13986,"Aston Martin","DB7 Coupe",1998,"coupe","Auto",6,3.2,19,13,1
13987,"Aston Martin","DB7 Coupe",1998,"coupe","Manual",6,3.2,19,12,1
13279,"Aston Martin","DB7 Volante",1997,"subcompact","Auto",6,3.2,19,13,1
13280,"Aston Martin","DB7 Volante",1997,"subcompact","Manual",6,3.2,19,12,1
13988,"Aston Martin","DB7 Volante",1998,"coupe","Auto",6,3.2,19,13,1
